customer_id,signup_date,country,segment
1,2024-03-22,Latvia,VIP
2,2024-12-21,Finland,Regular
3,2024-09-14,Latvia,Regular
4,2024-07-24,Germany,New
5,2024-03-17,Latvia,VIP
6,2024-01-12,Poland,VIP
7,2024-10-21,Estonia,New
8,2024-08-11,Finland,Regular
9,2024-01-13,Germany,Regular
10,2024-02-15,Estonia,New
11,2024-06-03,Estonia,Regular
12,2024-04-22,Estonia,New
13,2024-08-20,Germany,New
14,2024-01-17,Latvia,New
15,2024-12-25,Poland,New
16,2024-08-10,Latvia,New
17,2024-12-19,Estonia,New
18,2024-07-06,Germany,VIP
19,2024-12-09,Poland,Regular
20,2024-12-30,Estonia,VIP
21,2024-06-11,Estonia,New
22,2024-11-21,Estonia,New
23,2024-03-14,Poland,Regular
24,2024-08-20,Germany,New
25,2024-08-11,Germany,New
26,2024-11-14,Poland,Regular
27,2024-02-29,Poland,New
28,2024-11-30,Germany,Regular
29,2024-08-09,Finland,Regular
30,2024-02-06,Estonia,New
31,2024-10-04,Estonia,New
32,2024-07-14,Latvia,Regular
33,2024-12-17,Estonia,New
34,2024-08-29,Germany,New
35,2024-11-19,Finland,VIP
36,2024-08-06,Estonia,New
37,2024-07-10,Estonia,Regular
38,2024-01-17,Germany,VIP
39,2024-01-12,Finland,New
40,2024-07-11,Latvia,New
41,2024-01-22,Germany,New
42,2024-04-29,Estonia,New
43,2024-07-28,Estonia,New
44,2024-11-01,Finland,Regular
45,2024-09-26,Finland,New
46,2024-07-10,Estonia,Regular
47,2024-06-23,Finland,VIP
48,2024-10-11,Germany,Regular
49,2024-07-22,Finland,Regular
50,2024-06-12,Germany,New
51,2024-09-07,Germany,Regular
52,2024-08-14,Germany,Regular
53,2024-01-07,Germany,New
54,2024-01-29,Estonia,New
55,2024-02-02,Estonia,VIP
56,2024-05-13,Latvia,New
57,2024-03-19,Poland,New
58,2024-02-27,Estonia,New
59,2024-01-26,Germany,New
60,2024-08-13,Finland,Regular
61,2024-10-11,Estonia,Regular
62,2024-01-04,Germany,Regular
63,2024-04-08,Latvia,New
64,2024-02-08,Finland,New
65,2024-09-27,Estonia,New
66,2024-10-11,Germany,New
67,2024-06-05,Poland,New
68,2024-03-15,Finland,Regular
69,2024-10-14,Germany,New
70,2024-05-09,Germany,Regular
71,2024-06-23,Germany,New
72,2024-03-24,Finland,New
73,2024-01-22,Germany,New
74,2024-01-27,Estonia,VIP
75,2024-07-13,Finland,Regular
76,2024-12-02,Germany,VIP
77,2024-08-23,Germany,New
78,2024-04-01,Estonia,New
79,2024-01-21,Germany,Regular
80,2024-10-29,Latvia,New
81,2024-12-22,Germany,Regular
82,2024-03-24,Estonia,New
83,2024-09-18,Germany,New
84,2024-05-26,Finland,New
85,2024-09-13,Estonia,New
86,2024-02-27,Finland,Regular
87,2024-01-15,Latvia,New
88,2024-06-10,Finland,New
89,2024-06-11,Poland,New
90,2024-11-15,Germany,New
91,2024-10-07,Poland,Regular
92,2024-10-06,Finland,VIP
93,2024-01-12,Latvia,VIP
94,2024-09-30,Latvia,Regular
95,2024-09-27,Germany,New
96,2024-07-26,Poland,Regular
97,2024-01-27,Poland,New
98,2024-03-12,Poland,New
99,2024-02-29,Latvia,Regular
100,2024-05-24,Poland,New
101,2024-04-02,Estonia,VIP
102,2024-11-04,Germany,New
103,2024-01-08,Estonia,Regular
104,2024-03-19,Latvia,Regular
105,2024-01-27,Latvia,VIP
106,2024-06-22,Latvia,Regular
107,2024-02-19,Germany,Regular
108,2024-07-17,Latvia,New
109,2024-12-14,Latvia,Regular
110,2024-06-29,Estonia,New
111,2024-01-24,Latvia,Regular
112,2024-11-11,Estonia,Regular
113,2024-02-15,Estonia,Regular
114,2024-01-15,Germany,New
115,2024-06-01,Germany,New
116,2024-08-09,Germany,Regular
117,2024-07-24,Germany,New
118,2024-09-29,Latvia,New
119,2024-08-23,Finland,New
120,2024-12-05,Germany,VIP
121,2024-08-15,Germany,Regular
122,2024-01-09,Estonia,New
123,2024-06-14,Latvia,New
124,2024-11-14,Latvia,New
125,2024-08-01,Latvia,Regular
126,2024-04-26,Germany,Regular
127,2024-12-09,Germany,New
128,2024-03-12,Germany,New
129,2024-03-04,Poland,New
130,2024-07-23,Poland,Regular
131,2024-07-27,Poland,Regular
132,2024-03-12,Finland,New
133,2024-10-03,Estonia,New
134,2024-09-30,Estonia,New
135,2024-11-15,Estonia,VIP
136,2024-12-03,Germany,New
137,2024-04-04,Finland,Regular
138,2024-06-14,Estonia,Regular
139,2024-02-01,Finland,New
140,2024-01-11,Estonia,New
141,2024-10-27,Finland,New
142,2024-08-04,Latvia,Regular
143,2024-10-15,Estonia,Regular
144,2024-04-11,Germany,Regular
145,2024-09-23,Latvia,Regular
146,2024-08-01,Latvia,New
147,2024-06-27,Latvia,VIP
148,2024-03-28,Poland,Regular
149,2024-02-10,Germany,New
150,2024-03-16,Latvia,VIP
151,2024-02-15,Germany,Regular
152,2024-06-08,Poland,Regular
153,2024-03-20,Latvia,Regular
154,2024-11-05,Latvia,Regular
155,2024-03-26,Estonia,Regular
156,2024-04-01,Estonia,New
157,2024-05-27,Germany,New
158,2024-06-09,Estonia,VIP
159,2024-07-20,Germany,New
160,2024-08-29,Poland,New
161,2024-12-18,Estonia,New
162,2024-01-02,Germany,New
163,2024-08-12,Latvia,Regular
164,2024-10-15,Finland,VIP
165,2024-08-20,Germany,New
166,2024-03-17,Poland,New
167,2024-04-25,Germany,New
168,2024-06-02,Estonia,VIP
169,2024-04-12,Germany,Regular
170,2024-07-12,Finland,New
171,2024-06-14,Germany,Regular
172,2024-12-24,Poland,VIP
173,2024-03-30,Finland,Regular
174,2024-06-22,Estonia,VIP
175,2024-05-01,Estonia,New
176,2024-05-22,Germany,Regular
177,2024-04-15,Latvia,New
178,2024-10-31,Poland,Regular
179,2024-12-25,Finland,Regular
180,2024-11-12,Latvia,Regular
181,2024-05-02,Estonia,Regular
182,2024-01-09,Poland,New
183,2024-09-18,Latvia,Regular
184,2024-03-13,Poland,VIP
185,2024-12-24,Latvia,VIP
186,2024-08-10,Germany,New
187,2024-02-10,Estonia,New
188,2024-07-22,Germany,New
189,2024-09-20,Germany,Regular
190,2024-11-23,Germany,Regular
191,2024-06-26,Estonia,New
192,2024-12-13,Poland,Regular
193,2024-11-13,Finland,Regular
194,2024-03-24,Estonia,Regular
195,2024-11-13,Estonia,Regular
196,2024-04-20,Estonia,Regular
197,2024-09-07,Germany,Regular
198,2024-01-07,Germany,New
199,2024-03-24,Germany,Regular
200,2024-07-26,Estonia,Regular
201,2024-11-09,Latvia,VIP
202,2024-01-22,Germany,Regular
203,2024-01-03,Germany,Regular
204,2024-05-06,Finland,New
205,2024-10-23,Estonia,New
206,2024-07-06,Germany,New
207,2024-12-27,Latvia,New
208,2024-01-14,Latvia,Regular
209,2024-01-12,Poland,VIP
210,2024-03-27,Germany,New
211,2024-01-12,Finland,New
212,2024-01-25,Estonia,Regular
213,2024-10-27,Estonia,New
214,2024-08-30,Poland,Regular
215,2024-05-01,Germany,Regular
216,2024-05-26,Latvia,Regular
217,2024-02-24,Estonia,New
218,2024-08-25,Estonia,New
219,2024-12-21,Finland,Regular
220,2024-06-21,Estonia,Regular
221,2024-08-08,Latvia,New
222,2024-04-28,Estonia,Regular
223,2024-11-04,Latvia,New
224,2024-07-01,Estonia,Regular
225,2024-10-14,Germany,New
226,2024-11-02,Estonia,VIP
227,2024-10-26,Poland,New
228,2024-03-22,Estonia,New
229,2024-07-29,Germany,New
230,2024-05-29,Finland,New
231,2024-02-06,Germany,VIP
232,2024-12-17,Germany,VIP
233,2024-11-07,Latvia,New
234,2024-12-26,Latvia,New
235,2024-02-28,Germany,Regular
236,2024-05-10,Finland,VIP
237,2024-07-20,Germany,Regular
238,2024-08-30,Germany,New
239,2024-02-04,Poland,New
240,2024-04-02,Germany,Regular
241,2024-07-25,Estonia,New
242,2024-12-18,Germany,Regular
243,2024-11-27,Finland,New
244,2024-10-31,Estonia,Regular
245,2024-12-15,Germany,New
246,2024-07-31,Estonia,Regular
247,2024-06-07,Germany,New
248,2024-01-24,Estonia,Regular
249,2024-10-19,Germany,New
250,2024-01-04,Poland,Regular
251,2024-08-07,Latvia,Regular
252,2024-12-29,Germany,Regular
253,2024-01-20,Poland,Regular
254,2024-05-31,Finland,Regular
255,2024-02-19,Estonia,Regular
256,2024-06-25,Latvia,New
257,2024-04-05,Estonia,Regular
258,2024-04-14,Finland,New
259,2024-09-06,Finland,New
260,2024-04-26,Germany,New
261,2024-12-19,Poland,New
262,2024-08-15,Germany,Regular
263,2024-03-06,Germany,Regular
264,2024-11-30,Estonia,Regular
265,2024-09-18,Poland,Regular
266,2024-10-21,Estonia,New
267,2024-08-30,Poland,New
268,2024-07-04,Poland,New
269,2024-09-02,Poland,New
270,2024-05-04,Estonia,New
271,2024-09-24,Latvia,New
272,2024-05-10,Latvia,Regular
273,2024-08-24,Latvia,Regular
274,2024-01-18,Estonia,VIP
275,2024-02-09,Finland,VIP
276,2024-01-21,Germany,Regular
277,2024-08-12,Latvia,New
278,2024-12-20,Latvia,Regular
279,2024-10-08,Latvia,Regular
280,2024-01-08,Germany,New
281,2024-04-09,Germany,New
282,2024-08-27,Finland,Regular
283,2024-03-27,Germany,New
284,2024-10-24,Finland,Regular
285,2024-01-14,Finland,Regular
286,2024-11-29,Estonia,New
287,2024-01-02,Finland,New
288,2024-10-19,Estonia,New
289,2024-11-20,Poland,New
290,2024-02-10,Latvia,New
291,2024-11-13,Finland,Regular
292,2024-11-11,Finland,New
293,2024-04-20,Poland,Regular
294,2024-01-14,Poland,New
295,2024-08-18,Latvia,VIP
296,2024-03-24,Estonia,New
297,2024-05-09,Latvia,New
298,2024-08-18,Estonia,VIP
299,2024-11-21,Germany,Regular
300,2024-05-24,Latvia,New
