order_id,customer_id,product_id,order_date,quantity,revenue,discount
1,117,4,2025-03-27,1,33.25,0.05
2,61,29,2025-01-28,1,61.13,0.05
3,86,17,2025-01-17,1,202.99,0.0
4,198,2,2025-03-06,1,58.62,0.0
5,2,22,2025-04-22,1,50.55,0.1
6,98,16,2025-05-05,3,328.77,0.0
7,294,28,2025-02-28,1,186.38,0.2
8,243,17,2025-02-01,2,405.98,0.0
9,68,14,2025-08-02,2,94.54,0.1
10,116,28,2025-09-27,1,198.03,0.15
11,168,26,2025-01-26,1,91.37,0.0
12,248,30,2025-02-13,1,29.74,0.0
13,227,6,2025-06-16,2,277.08,0.05
14,178,11,2025-07-16,1,75.91,0.0
15,268,10,2025-01-08,2,78.44,0.1
16,164,5,2025-03-26,1,158.24,0.0
17,238,8,2025-07-29,1,92.77,0.0
18,268,2,2025-09-20,1,58.62,0.0
19,283,18,2025-02-09,3,583.08,0.0
20,129,23,2025-01-08,2,325.64,0.1
21,176,11,2025-04-11,2,136.64,0.1
22,246,19,2025-02-01,1,143.33,0.1
23,16,1,2025-03-04,2,132.24,0.2
24,21,30,2025-09-26,1,29.74,0.0
25,102,26,2025-08-11,1,91.37,0.0
26,283,5,2025-01-25,1,150.33,0.05
27,281,20,2025-06-03,3,393.93,0.0
28,227,29,2025-09-22,2,109.39,0.15
29,134,19,2025-03-01,2,254.8,0.2
30,213,24,2025-08-14,3,178.5,0.1
31,286,26,2025-06-05,1,91.37,0.0
32,163,20,2025-02-03,1,118.18,0.1
33,75,25,2025-06-25,3,263.87,0.1
34,108,11,2025-07-31,2,136.64,0.1
35,66,3,2025-09-05,2,375.14,0.1
36,201,20,2025-05-04,1,111.61,0.15
37,128,3,2025-01-04,1,197.99,0.05
38,294,15,2025-07-10,2,429.32,0.0
39,117,21,2025-05-22,2,400.52,0.15
40,39,9,2025-09-09,2,324.61,0.15
41,115,1,2025-05-14,1,82.65,0.0
42,91,2,2025-02-15,3,175.86,0.0
43,190,3,2025-05-27,3,562.71,0.1
44,84,17,2025-09-27,1,162.39,0.2
45,150,16,2025-03-24,3,279.45,0.15
46,275,9,2025-06-22,3,515.56,0.1
47,251,28,2025-05-01,2,442.66,0.05
48,120,6,2025-06-13,1,145.83,0.0
49,161,24,2025-03-30,3,188.41,0.05
50,227,9,2025-08-10,1,190.95,0.0
51,68,28,2025-09-21,1,209.68,0.1
52,110,22,2025-04-30,2,95.49,0.15
53,158,12,2025-02-04,1,145.98,0.2
