product_id,category,price
1,Shoes,82.65
2,Outerwear,58.62
3,Bags,208.41
4,Outerwear,35.0
5,Accessories,158.24
6,Bags,145.83
7,Accessories,99.37
8,Bags,92.77
9,Clothes,190.95
10,Shoes,43.58
11,Shoes,75.91
12,Accessories,182.48
13,Shoes,142.89
14,Accessories,52.52
15,Accessories,214.66
16,Accessories,109.59
17,Shoes,202.99
18,Accessories,194.36
19,Shoes,159.25
20,Accessories,131.31
21,Outerwear,235.6
22,Accessories,56.17
23,Bags,180.91
24,Accessories,66.11
25,Clothes,97.73
26,Accessories,91.37
27,Bags,228.61
28,Bags,232.98
29,Shoes,64.35
30,Outerwear,29.74
