customer_id,country,segment,orders,revenue,revenue_rank
56,Latvia,New,10,2940.77,1
246,Estonia,Regular,11,2934.27,2
38,Germany,VIP,10,2826.79,3
114,Germany,New,14,2579.99,4
154,Latvia,Regular,13,2578.52,5
194,Estonia,Regular,9,2545.14,6
39,Finland,New,7,2446.3,7
221,Latvia,New,11,2401.73,8
89,Poland,New,9,2374.82,9
196,Estonia,Regular,9,2355.2,10
214,Poland,Regular,10,2303.0,11
49,Finland,Regular,8,2285.75,12
141,Finland,New,9,2226.6,13
12,Estonia,New,12,2224.18,14
46,Estonia,Regular,9,2178.27,15
283,Germany,New,11,2167.71,16
249,Germany,New,9,2110.54,17
100,Poland,New,8,2040.97,18
77,Germany,New,9,2017.27,19
227,Poland,New,7,2013.81,20
